Id,Name,Lat,Lon,Region
1,"gas",27.8832432,-82.5061186,"Tampa"
2,"Fuel Depot",27.917507,-82.516411,"Tampa"
3,"gas",27.988782,-82.442148,"Tampa"
4,"gas",27.910806,-82.329119,"Tampa"
5,"Fuel Depot",27.896798,-82.406843,"Tampa"
6,"gas",27.9332846,-82.4721070,"Tampa"
7,"gas",27.938537,-82.449809,"Tampa"
